index	name	wl	A_in_l	A_in_u	v_in	sig_in	free
0	Hb	4861.32	0.3674	0.3674	100	100	d4
1	OIIIa	5006.77	1.1941	1.1941	100	100	l
2	OIIIb	4958.83	0.3278	0.3278	100	100	d1
3	NIIb	6547.96	0.3330	0.3330	100	100	d5
4	Ha	6562.80	1.0	1.0	100	100	l
5	NIIa	6583.34	1.4963	1.4963	100	100	l
6	SIIb	6716.31	1.4281	1.4281	100	100	d7
7	SIIa	6730.68	0.4278	0.4278	100	100	l
