index	name	wl	A_in_l	A_in_u	v_in	sig_in	free
0	Hb	4861.32	0.2851	0.2851	100	100	d4
1	OIIIa	5006.77	0.1602	0.1602	100	100	l
2	OIIIb	4958.83	0.3445	0.3445	100	100	d1
3	NIIb	6547.96	0.3404	0.3404	100	100	d5
4	Ha	6562.80	1.0	1.0	100	100	l
5	NIIa	6583.34	0.3819	0.3810	100	100	l
6	SIIb	6716.31	1.5686	1.5686	100	100	d7
7	SIIa	6730.68	0.1088	0.1088	100	100	l
