index	name	wl	A_in_l	A_in_u	v_in	sig_in	free
0	Hb	4861.32	0.1895	0.1895	100	100	d4
1	OIIIa	5006.77	4.7768	4.7768	100	100	l
2	OIIIb	4958.83	0.3133	0.3133	100	100	d1
3	NIIb	6547.96	0.3442	0.3442	100	100	d5
4	Ha	6562.80	1.0	1.0	100	100	l
5	NIIa	6583.34	0.1734	0.1734	100	100	l
6	SIIb	6716.31	0.4348	0.4348	100	100	d7
7	SIIa	6730.68	0.1404	0.1404	100	100	l
