index	name	wl	A_in_l	A_in_u	v_in	sig_in	free
0	Hb	4861.32	0.3150	0.3150	100	100	d4
1	OIIIa	5006.77	2.2272	2.2272	100	100	l
2	OIIIb	4958.83	0.3493	0.3493	100	100	d1
3	NIIb	6547.96	0.3343	0.3343	100	100	d5
4	Ha	6562.80	1.0	1.0	100	100	l
5	NIIa	6583.34	1.5510	1.5510	100	100	l
6	SIIb	6716.31	1.5167	1.5167	100	100	d7
7	SIIa	6730.68	0.3815	0.3815	100	100	l
