# first 1000 are full spectra, next 1000 have random lines missing, next 1000 is just noise
3.791940616331658243e-01 1.010392800039020855e+01 3.165560642522252444e+00 2.979737957491401810e-09 2.001024071942827387e+00 8.656995809097623227e-09 8.157376196749056146e-13 1.876121480393066870e-12 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.530100941218717869e-01 1.920443885624705160e+01 6.016750693662201499e+00 7.386473838222329902e-09 4.501372528347608259e+00 2.145983102330717429e-08 1.113450878765522151e-01 2.560834587777189864e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.195104710903310385e-01 1.383602506667831200e+01 4.334826653390315698e+00 3.849911727437425601e-01 1.686071087547921010e+00 1.118510089319414647e+00 2.100419048119457344e-01 4.830770579851558222e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.529089709887316455e-03 2.713042545716972231e+00 8.499962295731273709e-01 4.203987800793961699e-02 1.334611984109401739e-02 1.221379372688542048e-01 1.890049017863226835e-07 4.346938863530880114e-07 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.923196892410997005e+00 4.590031095687611185e+01 1.438056742278928724e+01 2.981081401171081713e-07 1.014879626602109219e+01 8.660898899393032268e-07 8.118678875034139875e-01 1.867221452399756121e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
7.012253981272970060e-01 2.131686011042727813e+01 6.678572272596866810e+00 1.985231626603312046e-07 3.700397879299720305e+00 5.767668874501197463e-07 3.139229798133428284e-01 7.219939738117359118e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.038182628137553909e+00 2.169358825772525279e+01 6.796601201145321625e+00 1.970001351411469759e-01 5.478536296240389625e+00 5.723420544484223438e-01 8.190518770598843673e-09 1.883743967479034543e-08 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.783273319121856604e-01 1.797989589827218282e+01 5.633101384928674626e+00 5.167961184882287062e-01 3.051859271304409482e+00 1.501441366903627950e+00 1.321879452173657583e-07 3.040201131954134439e-07 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.169869339801027586e+00 2.894905756323856849e+01 9.069739734562643818e+00 1.143835118162069564e-01 6.173452980480356622e+00 3.323170012092009351e-01 7.033760066121886553e-09 1.617700107203745574e-08 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.834144482482589211e+00 4.470692145466207279e+01 1.400667849174562818e+01 1.009507294580433756e+00 9.678862704393610628e+00 2.932909048751986880e+00 9.412650298956177775e-01 2.164822975840887231e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.507012029305000000e-01 3.247814385404608206e+00 1.017540246947263860e+00 2.605001628699317173e-01 1.850665978525065869e+00 7.568278990991623711e-01 9.742441871196661896e-09 2.240672003495092213e-08 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
