# first 1000 are full spectra, next 1000 have random lines missing, next 1000 is just noise
8.887286852615499111e-01 2.637720136579073937e+01 8.263977187902238342e+00 3.058154389943686935e-01 4.689861135944854098e+00 8.884818099778287737e-01 6.584790329083415328e-01 1.514441198041263759e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.609006467043418320e-01 3.089490411321817831e+01 9.679373458671255648e+00 5.800318289531792848e-01 5.070715813743228217e+00 1.685159293879079812e+00 7.772780047619812782e-01 1.787667904236387439e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.363920598876919188e-01 6.474714255137254959e+00 2.028527976134502087e+00 4.521111663876896392e-02 2.302860474341382080e+00 1.313512976140876476e-01 1.269139585603440325e-07 2.918904290716284110e-07 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.777384816024986547e-01 1.069065211527453485e+01 3.349381307715512346e+00 3.724860540144673826e-01 2.521047396319254119e+00 1.082179122645169578e+00 7.074811551729127679e-01 1.627141571234850037e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
7.873609579534711633e-01 2.039516390042914296e+01 6.389804850004450643e+00 1.338767042468225288e-07 4.154939092102750031e+00 3.889503319198795096e-07 4.422366094398576530e-01 1.017103517570969728e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.245441964529468315e+00 3.407898698574392427e+01 1.067694662263357053e+01 3.809093052591127071e-01 6.572253110973447221e+00 1.106651090235655666e+00 2.332583464624181091e-01 5.364727379540433772e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.356910229690092784e-01 1.120442840283707753e+01 3.510347418608856351e+00 2.849238696836079998e-01 2.826865556564692739e+00 8.277857922243114785e-01 1.031340362239582531e-01 2.371987953632894164e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.206643564514171985e-01 6.677038053770812276e+00 2.091916022246395279e+00 5.693954212940140897e-02 2.219864677843890188e+00 1.654257470348675374e-01 4.142928163000629549e-02 9.528353640755818366e-02 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.642155045284262815e+00 4.875745233017278224e+01 1.527570981504313430e+01 1.170709994929628017e+00 8.665725832634631587e+00 3.401249258947205423e+00 8.941805920568395294e-01 2.056533100406714887e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.196814267869551918e+00 2.840640503132035022e+01 8.899726696312665553e+00 2.606975918827094674e-01 6.315642574509508833e+00 7.574014871665004645e-01 2.775136675572538181e-01 6.382559051454779198e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.523430339258556199e+00 3.832854585317021190e+01 1.200833341579822822e+01 5.576518228524740550e-01 8.039210233554385354e+00 1.620138939141412049e+00 3.866435098893531430e-01 8.892445029653937016e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.512255604750824212e+00 3.450548187605819095e+01 1.081056747176903166e+01 3.141577453785086016e-01 7.980240658315695512e+00 9.127186094669047511e-01 8.046889708426666621e-01 1.850710604513952529e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
6.634375498396232196e-01 8.561873431445288674e+00 2.682434946071809101e+00 2.864072211552741165e-01 3.500989708916217413e+00 8.320953548962061186e-01 1.002876998960191633e-06 2.306524836614976151e-06 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.741416383453287420e+00 4.634855309948319757e+01 1.452100168606808595e+01 5.556111158967790287e-01 9.189532366508114336e+00 1.614210098479892608e+00 6.894373945043894558e-01 1.585642581656829364e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.114279538885220466e-01 6.525845467873208072e+00 2.044547385084676261e+00 3.960710162584479951e-08 2.171123767221752043e+00 1.150700221552725058e-07 4.893127187877155994e-11 1.125374238242216052e-10 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.310234554479530633e+00 3.803259215442887609e+01 1.191561112198256822e+01 2.070912338538654363e-01 6.914166514403855324e+00 6.016595986457449197e-01 4.720661692929842834e-01 1.085708761023422841e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.260417907866796972e+00 3.113824277124989592e+01 9.755611460232593402e+00 4.237849236974344925e-08 6.651281835708691581e+00 1.231217093833336662e-07 4.197326852939214925e-01 9.653465623135268903e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.993065866081592086e-01 2.025947788834769625e+01 6.347294422419333948e+00 5.181859074601113663e-08 4.745681195821420673e+00 1.505479103602880286e-07 9.080267853392240962e-01 2.088378071157369398e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.845317120346098516e-01 1.821119471037212989e+01 5.705567302759588344e+00 1.621959327957611622e-10 3.084600063507175527e+00 4.712258361294630049e-10 6.258415762465494581e-01 1.439378050245053942e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.507899481999740665e-01 1.763032309040999124e+01 5.523580224225450586e+00 4.331155555707499327e-01 2.906543262268992400e+00 1.258325263134078886e+00 2.029363988370288807e-01 4.667350479232494354e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.741918756840829641e+00 4.261539651027963771e+01 1.335140372667061115e+01 4.440343751388990401e-01 9.192183413408072212e+00 1.290047574488375925e+00 6.043334814540548550e-01 1.389911410887890497e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.350873184978494734e+00 3.599642059111965153e+01 1.127767857119778760e+01 3.458086834183077274e-01 7.128618390387835291e+00 1.004673688025298439e+00 2.145626819936108552e-07 4.934744296081206440e-07 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.427960510943018457e+00 3.311792723722440002e+01 1.037584660342240461e+01 4.408249317317511351e-01 7.535411667245479173e+00 1.280723218279346654e+00 9.003777992048593581e-04 2.070786106726907501e-03 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.328802986001779596e+00 3.798615750724015783e+01 1.190106314701834300e+01 7.274261462502951137e-01 7.012152960431554227e+00 2.113382179692896656e+00 1.700590706595266326e-03 3.911202177082029503e-03 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.134449065009372593e+00 3.400437285082192318e+01 1.065357001416250782e+01 8.823008827279629207e-01 5.986538601632572565e+00 2.563337834770374801e+00 4.459981176908704437e-01 1.025754640503381721e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.779539391029954620e-01 7.959876572913723081e+00 2.493829330293869440e+00 9.976024416324948199e-11 1.994479889725569777e+00 2.898322026823052407e-10 6.879699743223001042e-13 1.582267650235280518e-12 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.306439502896497684e+00 3.208978123662078019e+01 1.005372846143329113e+01 3.471655756881824595e-01 6.894139856973602321e+00 1.008615850343353992e+00 5.718435090384562519e-02 1.315187463289917980e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.540635127985780617e+00 4.797458120337101661e+01 1.503043629101613909e+01 3.758253235503938861e-01 8.130000675386705566e+00 1.091880661099343008e+00 5.349667714875983027e-01 1.230374359447098165e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.128833327099399542e+00 3.234938323165792440e+01 1.013506176647842771e+01 4.437514970620955457e-01 5.956904100788388057e+00 1.289225732312886397e+00 3.413331921415309420e-03 7.850349405279000853e-03 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.007146920956899727e+00 4.668671624578635715e+01 1.462694819980486649e+01 1.600605538496619185e-01 1.059180433222638484e+01 4.650219461059322823e-01 2.504135975737926123e-01 5.759282372902314595e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.740403171902582979e+00 3.729719605944853811e+01 1.168521152542522756e+01 8.075009238608392703e-01 9.184185603707563317e+00 2.346022440037301759e+00 6.576049942453582320e-01 1.512430989524742753e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.790714414283747669e+00 4.962633470747543640e+01 1.554793066385205691e+01 2.718608843424226151e-01 9.449680286457772027e+00 7.898340625869337828e-01 9.467859361371578908e-01 2.177520552293371381e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.797938658439896198e-01 9.637293169340544807e+00 3.019363949954393167e+00 1.209421236871843849e-08 3.059598236643744418e+00 3.513716551051260240e-08 3.273581048013341251e-11 7.528935253020562806e-11 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.829976516457055169e-01 2.268477743274765857e+01 7.107140769679841874e+00 3.569655785967326689e-01 5.187322699977338303e+00 1.037087677503581329e+00 4.632910539137348738e-01 1.065526802929472883e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.709543160710106480e-01 9.382942771312244190e+00 2.939675970252126014e+00 2.572374497921099956e-01 1.957542565018525860e+00 7.473487791752179144e-01 4.552462229696339624e-01 1.047024431852884074e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.410016853513498702e-01 1.047145257745316194e+01 3.280706092516076033e+00 3.650997302909248510e-01 2.327185674677307858e+00 1.060719727748183683e+00 4.520606609172972995e-09 1.039697932192496021e-08 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.154795749955288997e-01 1.039866530922413190e+01 3.257901841379920338e+00 4.259908865246879728e-01 2.192504353538411443e+00 1.237626050333201722e+00 3.037195924012211501e-01 6.985271214379510374e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.485075898822247664e+00 4.103223838984336425e+01 1.285540028753792718e+01 3.238552392314987816e-01 7.836812130988114689e+00 9.408926183367192220e-01 3.537479054989833838e-01 8.135876391420960863e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.098445405063324332e-01 1.287386360000018826e+01 4.033381465880060190e+00 6.467086597326680009e-01 2.690472509268245105e+00 1.878874665115246811e+00 4.518142298774741023e-07 1.039131163471651660e-06 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.796892809775905375e+00 3.353014309476680666e+01 1.050499383159044164e+01 2.473489891587428713e-01 9.482283956601083474e+00 7.186199568818792960e-01 1.724002220482604431e-01 3.965046505249779640e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.287470761476900316e-01 2.047614117794712030e+01 6.415175031050833532e+00 4.764300021091775195e-01 4.901039979671187652e+00 1.384166188579829981e+00 1.403308285568811153e-01 3.227479957609961092e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.507049811477131629e-01 1.127116762933887983e+01 3.531256818271871545e+00 8.546430240851533577e-01 7.952769453705179625e-01 2.482983800363606441e+00 1.625484983633196559e-07 3.738465923719402683e-07 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.527306132608004408e-01 2.786857019604677177e+01 8.731223042421454750e+00 7.212999117989226883e-11 5.027602180795780029e+00 2.095583706562820225e-10 3.175918545917035263e-01 7.304320482789868896e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
6.981029698536624917e-01 1.322194139321861783e+01 4.142434238495392940e+00 2.613072900503610561e-10 3.683920685243601501e+00 7.591728357070337552e-10 6.611727493168292336e-01 1.520636497968788303e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.914287349868635912e-01 1.402658318268391824e+01 4.394528511134872417e+00 2.055630642590665913e-01 2.065586992015111090e+00 5.972198264354056096e-01 5.760889718953166064e-09 1.324951637293736439e-08 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.118716532638770689e+00 2.595390145388196856e+01 8.131357325501221922e+00 5.891243794634237751e-01 5.903517322632035658e+00 1.711575768342311843e+00 4.099674959406386376e-01 9.428875251624623255e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.825397874846626411e+00 4.209238263601675101e+01 1.318754347986405051e+01 2.649461558701527997e-01 9.632706463570587019e+00 7.697447875367601222e-01 3.169945047968083518e-01 7.290581987047110024e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.843457161222215701e+00 4.259886500943109411e+01 1.334622440745476446e+01 8.245058706906288615e-01 9.728006127821718252e+00 2.395426701599735253e+00 1.425452294248904739e+00 3.278409140406864708e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.657589541244763653e+00 4.085386477013101114e+01 1.279951583248204727e+01 4.089843093938193563e-01 8.747174360130678394e+00 1.188217052277220631e+00 4.867794714368993136e-01 1.119548002384773033e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.706127909934488596e+00 3.779419645567601549e+01 1.184092174956329657e+01 4.475308086574493194e-01 9.003313508889121408e+00 1.300205719516122516e+00 1.235204095709716843e-01 2.840855785900912589e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.133047921877850417e-01 2.051228772749043827e+01 6.426499745022755228e+00 2.366510407391306803e-01 4.819550354552954552e+00 6.875393397418090302e-01 1.769760837047273383e-01 4.070287113724179728e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.680068457305320617e+00 4.260092937971894145e+01 1.334687117466594408e+01 6.726845067210657225e-01 8.865796608471349316e+00 1.954341971879912210e+00 3.218850315138087614e-01 7.403059602433504915e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.269997733016387409e+00 2.349659347095792583e+01 7.361482734451118226e+00 2.343016256854753565e-01 6.701835002724999768e+00 6.807136132640190240e-01 2.422810812436989314e-01 5.572241978925918104e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.329942596839198909e+00 4.123656098907430589e+01 1.291941455787698168e+01 8.699875103143785982e-01 7.018166737937725941e+00 2.527563946293952757e+00 1.202471270809511328e+00 2.765573299929878992e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.808292716548737911e+00 4.181215461100667596e+01 1.309974803962839118e+01 4.322695029491037677e-01 9.542441775982785757e+00 1.255867236923601915e+00 6.655309855027078392e-01 1.530660040254617771e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.454672845600570863e-01 1.187871161281816157e+01 3.721600348295930338e+00 1.289994935311228494e-05 7.676373855411983138e-01 3.747806319904789247e-05 1.811078774424590553e-07 4.165314568593814427e-07 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.647058685382841059e+00 3.910912141820993781e+01 1.225288774032517480e+01 6.299704303046194109e-01 8.691602561387025361e+00 1.830245294319057026e+00 5.511013919458453980e-01 1.267482502175357295e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.758000684240120792e-01 7.720892724927308493e+00 2.418955690719726270e+00 2.584826364691039413e-08 9.277048465647075304e-01 7.509664046168040841e-08 4.468404319759128884e-01 1.027691885869164823e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
6.793542134179105796e-01 1.231686637854414457e+01 3.858874236397880964e+00 2.594261475113315840e-01 3.584982656558894920e+00 7.537075755703996904e-01 6.294508045496878257e-01 1.447678943306549559e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.594197382170091881e+00 3.453039871784220338e+01 1.081837391829996164e+01 6.287480105544416276e-01 8.412651093245866463e+00 1.826693813348174489e+00 6.343429501801642889e-01 1.458930428197249718e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.448608856819274981e-01 2.596922683772467622e+01 8.136158768259141638e+00 1.917574186197822939e-01 4.986073275366371682e+00 5.571104550255150389e-01 3.237249046338663283e-01 7.445374991579262192e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
