# first 1000 are full spectra, next 1000 have random lines missing, next 1000 is just noise
3.032789138561013065e+00 1.712238276084552258e+00 5.898660861111281184e-01 1.786137706853178075e+00 1.063763289568927561e+01 5.247173051860100301e+00 2.269322137368431136e+00 1.446718180140527110e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.639679017728293164e+00 1.724981624207089143e-09 5.942561695393421579e-10 5.223175779920226081e-01 5.751241731772335442e+00 1.534422967074097199e+00 8.345110730937884691e-01 5.320101192743774687e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
6.183912125576276342e-01 7.234050964825392560e-01 2.492130557382347678e-01 5.333789604093820413e-01 2.169032664179682435e+00 1.566918215068690001e+00 1.142299172771332732e-07 7.282284666398908787e-08 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
7.165689043483930432e-01 1.137188121447252375e-11 3.917613078385784001e-12 7.066976669502444963e-01 2.513394964392820174e+00 2.076080102674043637e+00 1.640003452239409798e+00 1.045520497411328353e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.010842608655155850e+00 1.129916197938303224e+00 3.892561301897454751e-01 9.918117423195461635e-01 7.053113323939514956e+00 2.913665517977515051e+00 4.792032327747123288e-01 3.054974070985033707e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.962753404670502633e+00 1.268889316844618254e+00 4.371323696529708647e-01 7.294169463740598491e-01 1.039197967264294142e+01 2.142822991698178470e+00 1.898903756601744375e+00 1.210572329849384454e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
7.792873708844015868e-01 7.457417147804790571e-07 2.569080207418750308e-07 3.888624289060439443e-01 2.733382570622242991e+00 1.142369062591198636e+00 3.779338166039371560e-01 2.409370244829383834e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.441675221344894453e+00 2.146900783038010907e+00 7.396073197565946611e-01 1.322637810100367295e+00 8.564276469115728929e+00 3.885539982668529291e+00 1.103739419717226999e+00 7.036461938781251035e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.042374246441269747e+00 7.297819782837265956e-01 2.514098915187438221e-01 7.263519333958980972e-01 7.163711843006907998e+00 2.133818840763507918e+00 1.495302106377596751e-01 9.532717750717815963e-02 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.675745614425693919e+00 2.914363917919311042e+00 1.003998369723202444e+00 1.263990765589739329e+00 9.385288019732353604e+00 3.713251367772442357e+00 5.245540181124389578e-01 3.344090387048571644e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
